;Comun_list.1.n.;Resident_w_list;Workers_list;Autflux_list;Autoff_list;Autdom_list
315;1315;4922;3886,74;1552;0,315318976;0,39930636
316;2002;179;196;115;0,642458101;0,586734694
317;2003;152;94,51;33;0,217105263;0,3491694
318;2004;1261;733,41;439;0,3481364;0,598573785
319;2006;399;523,45;192;0,481203008;0,366797211
320;2007;721;400,32;215;0,298196949;0,537070344
321;2008;41;87;6;0,146341463;0,068965517
322;2009;126;306,31;45;0,357142857;0,146909993
323;2011;976;1242,56;525;0,537909836;0,422514808
324;2014;70;39;21;0,3;0,538461538
325;2015;1295;911,68;595;0,459459459;0,652641278
326;2016;6369;8235,54;3931;0,617208353;0,477321463
327;2017;1218;784;359;0,294745484;0,457908163
328;2019;75;9;6;0,08;0,666666667
329;2021;432;461,49;170;0,393518519;0,368372012
330;2025;102;56;41;0,401960784;0,732142857
331;2029;24;7;7;0,291666667;1
332;2030;433;260,47;141;0,325635104;0,541329136
333;2031;628;925,34;108;0,171974522;0,116713857
334;2032;431;673,66;178;0,412993039;0,264228246
335;2033;138;28,32;19;0,137681159;0,670903955
336;2035;149;41;29;0,194630872;0,707317073
337;2038;400;114;84;0,21;0,736842105
338;2041;19;3;2;0,105263158;0,666666667
339;2042;2278;1711,66;989;0,434152766;0,577801666
340;2043;116;30,59;16;0,137931034;0,523046747
341;2045;56;32,06;17;0,303571429;0,53025577
342;2047;322;93,12;40;0,124223602;0,429553265
343;2048;107;26;16;0,14953271;0,615384615
344;2049;3954;3335,29;2095;0,529843197;0,628131287
345;2052;181;133,86;40;0,220994475;0,298819662
346;2054;526;330,11;139;0,264258555;0,421071764
347;2057;75;51;38;0,506666667;0,745098039
348;2058;517;231,42;174;0,33655706;0,751879699
349;2059;268;330,91;93;0,347014925;0,281043184
350;2061;4208;4271,28;2287;0,543488593;0,535436684
351;2062;365;283,6;73;0,2;0,257404795
352;2065;172;257,82;45;0,261627907;0,174540377
353;2066;149;83;21;0,140939597;0,253012048
354;2067;236;38;20;0,084745763;0,526315789
355;2068;464;373,78;146;0,314655172;0,390604099
356;2070;301;112,62;62;0,205980066;0,550523886
357;2071;2097;1370;894;0,426323319;0,652554745
358;2072;394;274,19;118;0,299492386;0,430358511
359;2078;34;21;12;0,352941176;0,571428571
360;2079;606;729,11;220;0,363036304;0,301737735
361;2082;338;94,44;71;0,210059172;0,751800085
362;2088;427;208,8;128;0,299765808;0,61302682
363;2089;107;30;21;0,196261682;0,7
364;2090;607;342,4;190;0,313014827;0,554906542
365;2091;142;51,53;29;0,204225352;0,562778964
366;2093;725;237,4;166;0,228965517;0,699241786
367;2096;67;54,98;20;0,298507463;0,363768643
368;2097;70;39;25;0,357142857;0,641025641
369;2102;284;62;36;0,126760563;0,580645161
370;2104;371;455,03;83;0,223719677;0,182405556
371;2107;2170;2050,21;978;0,450691244;0,477024305
372;2108;233;353,9;26;0,111587983;0,073467081
373;2110;24;14;10;0,416666667;0,714285714
374;2111;16;12;6;0,375;0,5
375;2112;38;33;9;0,236842105;0,272727273
376;2113;48;30;27;0,5625;0,9
377;2114;94;119,15;33;0,35106383;0,276961813
378;2115;199;22,09;14;0,070351759;0,633770937
379;2116;1177;688,94;374;0,317757009;0,542862949
380;2118;269;183,37;97;0,360594796;0,528985112
381;2121;76;19;14;0,184210526;0,736842105
382;2122;468;342,01;181;0,386752137;0,529224292
383;2123;17;11;2;0,117647059;0,181818182
384;2126;102;24,74;13;0,12745098;0,525464834
385;2127;46;29,96;7;0,152173913;0,23364486
386;2128;2056;2982,43;1097;0,533560311;0,367820871
387;2131;796;391,84;260;0,326633166;0,663536137
388;2133;4335;3680,29;2112;0,487197232;0,57386782
389;2134;181;102;52;0,287292818;0,509803922
390;2135;158;224;90;0,569620253;0,401785714
391;2137;2509;2200,04;1023;0,407732164;0,464991546
392;2142;626;245,41;151;0,241214058;0,61529685
393;2147;322;293,74;101;0,313664596;0,343841492
394;2148;3411;3028,62;1919;0,562591615;0,633621914
395;2150;1816;1125,97;682;0,375550661;0,605699974
396;2152;1084;1204,15;532;0,490774908;0,441805423
397;2156;3508;4293,55;2301;0,655929304;0,535920159
398;2158;22051,96;26765,83;16295,94;0,738979211;0,608833726
399;2163;217;137,43;63;0,290322581;0,458415193
400;2164;783;433,27;293;0,374201788;0,676252683
401;2166;77;11;4;0,051948052;0,363636364
402;3001;833;367,21;174;0,208883553;0,473843305
403;3002;353;216,09;75;0,212464589;0,347077607
404;3006;1027;588,21;402;0,391431353;0,683429387
405;3008;6432;7819,62;3279;0,509794776;0,41932984
406;3012;406;105,46;63;0,155172414;0,597382894
407;3016;4958;3078,76;1989;0,401169827;0,646039315
408;3018;636;1618,88;266;0,418238994;0,164311129
409;3019;624;527,14;182;0,291666667;0,345259324
410;3021;613;425,57;148;0,241435563;0,347768875
411;3022;596;450,54;133;0,223154362;0,295201314
412;3023;1045;672,88;367;0,351196172;0,545416716
